"INSTRUCTIONID"|"ENTRYDATE"|"FILESTATUS"|"TOTAL_NUMBER_OF_PAYMENTS"|"PAYMENTSCOMPLETED"|"PAYMENTSREJECTED"|"PAYMENTSPENDING"|"FILEPROCESSINGSERVER"|"FILEHASH"|"FIELDHASH"|"DESCRIPTION"|"OPTIMIZEDSTORAGE"|"ISDATACOMPUTATION"|"TRANSPORTTYPE"|"TRANSPORTNAME"|"TRANSPORTINFO"|"INPUTREFERENCECODE"|"INSTRUCTIONTYPE"|"PARTYCODE"|"SERVICECODE"|"DEPARTMENTCODE"|"OFFICECODE"|"BRANCHCODE"|"UNSTRUCTUREDINFO"|"FILEMETADATA"|"ORIGINSTRID"|"RELATEDINSTRUCTIONID"|"RELATIONSHIP"|"ENCRYPTEDINSTRUCTIONID"|"SOURCEREFERENCECODE"|"INSTRUCTIONFORMAT"|"ORIGINALINSTRUCTIONREFERENCEID"|"INSTRUCTIONFIELDLIST"|"ORIGINALINSTRUCTIONKEY"|"MESSAGEORIGIN"|"CONTROLSUM"|"BATCHESRECEIVED"|"BATCHESCOMPLETED"|"BATCHESREJECTED"|"BATCHESPENDING"|"FILEMATCHINGSTATUS"|"INPUTHEADERSLIST"|"ORIGINAL_FINANCIAL_ENTITY_NAME"|"CREDIT_VALUE"|"DEBIT_VALUE"|"CYCLE"|"REGISTRO_DE_ENCABEZADO_ARCHIVO"|"REGISTRO_DE_CONTROL_DE_ARCHIVO"|"RJCTFLGFORSOFT"|"FILENAME"|"UPLOADEDBY"|"VALUEDEBITSORIGINALFILE"|"VALUECREDITSORIGINALFILE"|"VALUEDEBITSDONOTREQUIREAUTH"|"VALUEAUTHORIZEDDEBITS"|"VALUEDEBITSPROCESSED"|"VALUEDEBITSREQUIREAUTH"|"VALUECREDITSREQUIREAUTH"|"VALUECREDITSDONOTREQUIREAUTH"|"VALUEAUTHORIZEDCREDITS"|"VALUECREDITSPROCESSED"
"70801"|15-JUN-22 02.40.41.348000000 PM|"REJECTED"|0|0|0|0|"952aecb5aff5"|""|""|"¡Cierre de ciclo en proceso! \n \n Por favor, cargue sus archivos en el siguiente ciclo."|1|""|"UPLOAD"|"0001009.009.1"|"{
    ""TransportType"":""UPLOAD"",
    ""TransportName"":""0001009.009.1"",
    ""TransportArrivalTime"":""2022-06-15T14:40:41.328"",
    ""AddtionalProperty"":[
        {
            ""key"":""UserID"",
            ""value"":""hquiceno/citibank""
        },
        {
            ""key"":""Source-Indicator"",
            ""value"":""volpay-ui""
        },
        {
            ""key"":""InputReferenceCode"",
            ""value"":""BANCITIBAN_SETTLEMENT_NACHAM_UI""
        }
    ]
}"|"BANCITIBAN_SETTLEMENT_NACHAM_UI"|"Payment Instruction"|"BANCITIBAN"|"SETTLEMENT"|"VOLPAYDEPT"|"GLBLOFF"|"COLBR"|""|(BLOB)|""|""|""|""|""|""|""|""|"94d9bd77-65ba-4a0d-b2d3-a394b7b4bae6"|""||||||""|(BLOB)|""|||""|(BLOB)|(BLOB)||""|""|""|""||||||||
"95162"|01-JUL-22 06.48.53.895000000 PM|"REJECTED"|0|0|0|0|"f55fd36d77a4"|""|""|"¡Cierre de ciclo en proceso! \n \n Por favor, cargue sus archivos en el siguiente ciclo."|1|""|"UPLOAD"|"0001009.009.1"|"{
    ""TransportType"":""UPLOAD"",
    ""TransportName"":""0001009.009.1"",
    ""TransportArrivalTime"":""2022-07-01T18:48:53.893"",
    ""AddtionalProperty"":[
        {
            ""key"":""UserID"",
            ""value"":""hquiceno/citibank""
        },
        {
            ""key"":""Source-Indicator"",
            ""value"":""volpay-ui""
        },
        {
            ""key"":""InputReferenceCode"",
            ""value"":""BANCITIBAN_SETTLEMENT_NACHAM_UI""
        }
    ]
}"|"BANCITIBAN_SETTLEMENT_NACHAM_UI"|"Payment Instruction"|"BANCITIBAN"|"SETTLEMENT"|"VOLPAYDEPT"|"GLBLOFF"|"COLBR"|""|(BLOB)|""|""|""|""|""|""|""|""|"cafab91e-2f5f-4cc6-b5a1-f8c47194dd12"|""||||||""|(BLOB)|""|||""|(BLOB)|(BLOB)||""|""|""|""||||||||
"99521"|04-JUL-22 01.52.22.383000000 PM|"REJECTED"|0|0|0|0|"a307b0c45bd0"|""|""|"¡Cierre de ciclo en proceso! \n \n Por favor, cargue sus archivos en el siguiente ciclo."|1|""|"UPLOAD"|"0001001.001.1.env"|"{
    ""TransportType"":""UPLOAD"",
    ""TransportName"":""0001001.001.1.env"",
    ""TransportArrivalTime"":""2022-07-04T13:52:22.365"",
    ""AddtionalProperty"":[
        {
            ""key"":""UserID"",
            ""value"":""kdelgadillo@achcolombia.com.co""
        },
        {
            ""key"":""Source-Indicator"",
            ""value"":""volpay-ui""
        },
        {
            ""key"":""InputReferenceCode"",
            ""value"":""BANBOGOTA_SETTLEMENT_NACHAM_UI""
        }
    ]
}"|"BANBOGOTA_SETTLEMENT_NACHAM_UI"|"Payment Instruction"|"BANBOGOTA"|"SETTLEMENT"|"VOLPAYDEPT"|"GLBLOFF"|"COLBR"|""|(BLOB)|""|""|""|""|""|""|""|""|"2246798b-4a40-4fb5-be08-5a1158d522e9"|""||||||""|(BLOB)|""|||""|(BLOB)|(BLOB)||""|""|""|""||||||||
"103781"|05-JUL-22 09.43.30.384000000 PM|"REJECTED"|0|0|0|0|"88d71642fa10"|""|""|"El archivo debe estar SIN CIFRAR para realizar el cargue"|1|""|"UPLOAD"|"0001009.001.1.env"|"{
    ""TransportType"":""UPLOAD"",
    ""TransportName"":""0001009.001.1.env"",
    ""TransportArrivalTime"":""2022-07-05T21:43:30.368"",
    ""AddtionalProperty"":[
        {
            ""key"":""UserID"",
            ""value"":""kdelgadillo@achcolombia.com.co""
        },
        {
            ""key"":""Source-Indicator"",
            ""value"":""volpay-ui""
        },
        {
            ""key"":""InputReferenceCode"",
            ""value"":""BANCITIBAN_SETTLEMENT_NACHAM_UI""
        }
    ]
}"|"BANCITIBAN_SETTLEMENT_NACHAM_UI"|"Payment Instruction"|"BANCITIBAN"|"SETTLEMENT"|"VOLPAYDEPT"|"GLBLOFF"|"COLBR"|""|(BLOB)|""|""|""|""|""|""|""|""|"b283433f-de2b-47c2-8613-51ead9328fba"|""||||||""|(BLOB)|""|||"20220705-1"|(BLOB)|(BLOB)||"0001009.001.1.env"|""|""|""||||||||
"104221"|05-JUL-22 11.54.29.337000000 PM|"COMPLETED"|1980|591|1389|1|"d886354082cd"|""|""|"Status changed to COMPLETED"|1|""|"UPLOAD"|"0001009.002.1.env"|"{
    ""TransportType"":""UPLOAD"",
    ""TransportName"":""0001009.002.1.env"",
    ""TransportArrivalTime"":""2022-07-05T23:54:29.321"",
    ""AddtionalProperty"":[
        {
            ""key"":""UserID"",
            ""value"":""kdelgadillo@achcolombia.com.co""
        },
        {
            ""key"":""Source-Indicator"",
            ""value"":""volpay-ui""
        },
        {
            ""key"":""InputReferenceCode"",
            ""value"":""BANCITIBAN_SETTLEMENT_NACHAM_UI""
        }
    ]
}"|"BANCITIBAN_SETTLEMENT_NACHAM_UI"|"Payment Instruction"|"BANCITIBAN"|"SETTLEMENT"|"VOLPAYDEPT"|"GLBLOFF"|"COLBR"|""|(BLOB)|""|""|""|""|""|"NACHA"|""|""|"921f9479-5cf6-4a2b-b521-5d903b66bdc7"|""||15|15|||""|(BLOB)|"CITIBANK"|6265055805.16|0|"20220705-1"|(BLOB)|(BLOB)||"0001009.002.1.env"|"kdelgadillo@achcolombia.com.co"|"0.0"|"6265055805.16"|0|0|0|0|3607770000|1586356191.59|3607770000|5194126191.59
"103522"|05-JUL-22 09.27.24.324000000 PM|"REJECTED"|0|0|0|0|"20e8edc94e68"|""|""|"FORCED MANUAL REJECTION"|1|""|"UPLOAD"|"0001009.001.1.env"|"{
    ""TransportType"":""UPLOAD"",
    ""TransportName"":""0001009.001.1.env"",
    ""TransportArrivalTime"":""2022-07-05T21:27:24.321"",
    ""AddtionalProperty"":[
        {
            ""key"":""UserID"",
            ""value"":""kdelgadillo@achcolombia.com.co""
        },
        {
            ""key"":""Source-Indicator"",
            ""value"":""volpay-ui""
        },
        {
            ""key"":""InputReferenceCode"",
            ""value"":""BANCITIBAN_SETTLEMENT_NACHAM_UI""
        }
    ]
}"|"BANCITIBAN_SETTLEMENT_NACHAM_UI"|"Payment Instruction"|"BANCITIBAN"|"SETTLEMENT"|"VOLPAYDEPT"|"GLBLOFF"|"COLBR"|""|(BLOB)|""|""|""|""|""|""|""|""|"b0ed43d2-6ba6-48b3-bc86-be9c4b9dbb6f"|""||||||""|(BLOB)|""|||""|(BLOB)|(BLOB)||""|""|""|""||||||||
"104161"|05-JUL-22 11.52.40.064000000 PM|"REJECTED"|0|0|0|0|"9bcf7d2544e9"|""|""|"¡Cierre de ciclo en proceso! \n \n Por favor, cargue sus archivos en el siguiente ciclo."|1|""|"UPLOAD"|"0001009.001.1.env"|"{
    ""TransportType"":""UPLOAD"",
    ""TransportName"":""0001009.001.1.env"",
    ""TransportArrivalTime"":""2022-07-05T23:52:40.039"",
    ""AddtionalProperty"":[
        {
            ""key"":""UserID"",
            ""value"":""kdelgadillo@achcolombia.com.co""
        },
        {
            ""key"":""Source-Indicator"",
            ""value"":""volpay-ui""
        },
        {
            ""key"":""InputReferenceCode"",
            ""value"":""BANCITIBAN_SETTLEMENT_NACHAM_UI""
        }
    ]
}"|"BANCITIBAN_SETTLEMENT_NACHAM_UI"|"Payment Instruction"|"BANCITIBAN"|"SETTLEMENT"|"VOLPAYDEPT"|"GLBLOFF"|"COLBR"|""|(BLOB)|""|""|""|""|""|""|""|""|"c15c60cf-986e-416a-b515-b3fb7bcfe5eb"|""||||||""|(BLOB)|""|||""|(BLOB)|(BLOB)||""|""|""|""||||||||
"104162"|05-JUL-22 11.53.54.822000000 PM|"REJECTED"|0|0|0|0|"9bcf7d2544e9"|""|""|"101:El archivo ya había sido enviado. No se cargó su información.|"|1|""|"UPLOAD"|"0001009.001.1.env"|"{
    ""TransportType"":""UPLOAD"",
    ""TransportName"":""0001009.001.1.env"",
    ""TransportArrivalTime"":""2022-07-05T23:53:54.820"",
    ""AddtionalProperty"":[
        {
            ""key"":""UserID"",
            ""value"":""kdelgadillo@achcolombia.com.co""
        },
        {
            ""key"":""Source-Indicator"",
            ""value"":""volpay-ui""
        },
        {
            ""key"":""InputReferenceCode"",
            ""value"":""BANCITIBAN_SETTLEMENT_NACHAM_UI""
        }
    ]
}"|"BANCITIBAN_SETTLEMENT_NACHAM_UI"|"Payment Instruction"|"BANCITIBAN"|"SETTLEMENT"|"VOLPAYDEPT"|"GLBLOFF"|"COLBR"|""|(BLOB)|""|""|""|""|""|""|""|""|"997631ec-3c3f-487e-ab33-a0b2db08c0ec"|""||||||""|(BLOB)|""|||"20220705-1"|(BLOB)|(BLOB)||"0001009.001.1.env"|""|""|""||||||||
"104222"|06-JUL-22 12.34.55.348000000 AM|"COMPLETED"|88492|88484|8|7|"d886354082cd"|""|""|"Status changed to COMPLETED"|1|""|"UPLOAD"|"0001009.001.1.env"|"{
    ""TransportType"":""UPLOAD"",
    ""TransportName"":""0001009.001.1.env"",
    ""TransportArrivalTime"":""2022-07-06T00:34:55.342"",
    ""AddtionalProperty"":[
        {
            ""key"":""UserID"",
            ""value"":""kdelgadillo@achcolombia.com.co""
        },
        {
            ""key"":""Source-Indicator"",
            ""value"":""volpay-ui""
        },
        {
            ""key"":""InputReferenceCode"",
            ""value"":""BANCITIBAN_SETTLEMENT_NACHAM_UI""
        }
    ]
}"|"BANCITIBAN_SETTLEMENT_NACHAM_UI"|"Payment Instruction"|"BANCITIBAN"|"SETTLEMENT"|"VOLPAYDEPT"|"GLBLOFF"|"COLBR"|""|(BLOB)|""|""|""|""|""|"NACHA"|""|""|"d9ce4759-84a0-4bf1-b1a3-4adeffebe0b9"|""||175|175|||""|(BLOB)|"CITIBANK"|152670847709.46|0|"20220705-1"|(BLOB)|(BLOB)||"0001009.001.1.env"|"kdelgadillo@achcolombia.com.co"|"0.0"|"152670847709.46"|0|0|0|0|19406696131.47|133255677589.99|0|133255677589.99
"104561"|06-JUL-22 12.56.02.268000000 AM|"COMPLETED"|159357|159350|7|4|"45fc389a0014"|""|""|"Status changed to COMPLETED"|1|""|"UPLOAD"|"0001007.028.1.env"|"{
    ""TransportType"":""UPLOAD"",
    ""TransportName"":""0001007.028.1.env"",
    ""TransportArrivalTime"":""2022-07-06T00:56:02.246"",
    ""AddtionalProperty"":[
        {
            ""key"":""UserID"",
            ""value"":""kdelgadillo@achcolombia.com.co""
        },
        {
            ""key"":""Source-Indicator"",
            ""value"":""volpay-ui""
        },
        {
            ""key"":""InputReferenceCode"",
            ""value"":""BANBANCOLO_SETTLEMENT_NACHAM_UI""
        }
    ]
}"|"BANBANCOLO_SETTLEMENT_NACHAM_UI"|"Payment Instruction"|"BANBANCOLO"|"SETTLEMENT"|"VOLPAYDEPT"|"GLBLOFF"|"COLBR"|""|(BLOB)|""|""|""|""|""|"NACHA"|""|""|"047eefa3-6962-408b-95bc-04d51529df3e"|""||83340|83340|||""|(BLOB)|"BANCOLOMBIA"|675253139438.18|11619742430.01|"20220705-1"|(BLOB)|(BLOB)||"0001007.028.1.env"|"kdelgadillo@achcolombia.com.co"|"11619742430.01"|"675253139438.18"|11619742430.01|0|11619742430.01|0|105419654448|492490464309.18|0|492490464309.18
"95165"|01-JUL-22 07.03.30.327000000 PM|"REJECTED"|3|0|3|0|"f55fd36d77a4"|""|""|"12:El código de la entidad origen inmediato es incorrecto. (línea: 1)|13:La fecha de creación del archivo es incorrecta. (línea: 1)|"|1|""|"UPLOAD"|"0001009.009.1"|"{
    ""TransportType"":""UPLOAD"",
    ""TransportName"":""0001009.009.1"",
    ""TransportArrivalTime"":""2022-07-01T19:03:30.326"",
    ""AddtionalProperty"":[
        {
            ""key"":""UserID"",
            ""value"":""hquiceno@achcolombia.com.co""
        },
        {
            ""key"":""Source-Indicator"",
            ""value"":""volpay-ui""
        },
        {
            ""key"":""InputReferenceCode"",
            ""value"":""BANCITIBAN_SETTLEMENT_NACHAM_UI""
        }
    ]
}"|"BANCITIBAN_SETTLEMENT_NACHAM_UI"|"Payment Instruction"|"BANCITIBAN"|"SETTLEMENT"|"VOLPAYDEPT"|"GLBLOFF"|"COLBR"|""|(BLOB)|""|""|""|""|""|"NACHA"|""|""|"b7ee0648-8487-423b-af60-be204a5c1241"|""||1||||""|(BLOB)|"CITIBANK"|0|0|"20220523-1"|(BLOB)|(BLOB)||"0001009.009.1"|"hquiceno@achcolombia.com.co"|"0.0"|"31000070227.24"|0|0|0|0|0|0|0|0
